"","CellType","seurat_clusters","freq","RelFreq","Sample"
"1","immature",1,168,0.0931780366056572,"Old"
"2","immature",2,163,0.0904048807542984,"Old"
"32","immature",3,141,0.0782029950083195,"Old"
"35","immature",4,116,0.0643372157515252,"Old"
"10","immature",5,79,0.0438158624514698,"Old"
"5","immature",6,78,0.043261231281198,"Old"
"16","immature",7,64,0.0354963948973932,"Old"
"6","immature",8,58,0.0321686078757626,"Old"
"4","immature",9,38,0.0210759844703272,"Old"
"28","immature",10,38,0.0210759844703272,"Old"
"29","immature",11,38,0.0210759844703272,"Old"
"17","immature",12,36,0.0199667221297837,"Old"
"9","immature",13,33,0.0183028286189684,"Old"
"11","immature",14,32,0.0177481974486966,"Old"
"12","immature",15,30,0.0166389351081531,"Old"
"30","immature",16,30,0.0166389351081531,"Old"
"24","immature",17,28,0.0155296727676095,"Old"
"33","immature",18,22,0.0122018857459789,"Old"
"26","immature",19,17,0.00942872989462008,"Old"
"13","immature",20,15,0.00831946755407654,"Old"
"19","immature",1,25,0.0448833034111311,"Young"
"27","immature",2,23,0.0412926391382406,"Young"
"110","immature",3,19,0.0341113105924596,"Young"
"20","immature",4,17,0.0305206463195691,"Young"
"111","immature",5,13,0.0233393177737881,"Young"
"241","immature",6,13,0.0233393177737881,"Young"
"131","immature",7,12,0.0215439856373429,"Young"
"14","immature",8,12,0.0215439856373429,"Young"
"3","immature",9,11,0.0197486535008977,"Young"
"23","immature",10,11,0.0197486535008977,"Young"
"41","immature",11,10,0.0179533213644524,"Young"
"91","immature",12,10,0.0179533213644524,"Young"
"25","immature",13,10,0.0179533213644524,"Young"
"15","immature",14,9,0.0161579892280072,"Young"
"21","immature",15,9,0.0161579892280072,"Young"
"7","immature",16,8,0.0143626570915619,"Young"
"51","immature",17,6,0.0107719928186715,"Young"
"61","immature",18,6,0.0107719928186715,"Young"
"18","immature",19,5,0.00897666068222621,"Young"
"22","immature",20,5,0.00897666068222621,"Young"
