"","CellType","seurat_clusters","freq","RelFreq","Sample"
"1","immature",1,168,0.0931780366056572,"Old"
"2","immature",2,163,0.0904048807542984,"Old"
"7","immature",3,141,0.0782029950083195,"Old"
"10","immature",4,116,0.0643372157515252,"Old"
"18","immature",5,79,0.0438158624514698,"Old"
"13","immature",6,78,0.043261231281198,"Old"
"23","immature",7,64,0.0354963948973932,"Old"
"14","immature",8,58,0.0321686078757626,"Old"
"12","immature",9,38,0.0210759844703272,"Old"
"34","immature",10,38,0.0210759844703272,"Old"
"35","immature",11,38,0.0210759844703272,"Old"
"24","immature",12,36,0.0199667221297837,"Old"
"43","immature",13,35,0.0194120909595119,"Old"
"17","immature",14,33,0.0183028286189684,"Old"
"19","immature",15,32,0.0177481974486966,"Old"
"5","immature",16,30,0.0166389351081531,"Old"
"20","immature",17,30,0.0166389351081531,"Old"
"39","immature",18,30,0.0166389351081531,"Old"
"37","immature",19,29,0.0160843039378813,"Old"
"4","immature",20,28,0.0155296727676095,"Old"
"41","immature",1,25,0.0448833034111311,"Young"
"25","immature",2,23,0.0412926391382406,"Young"
"15","immature",3,19,0.0341113105924596,"Young"
"51","immature",4,17,0.0305206463195691,"Young"
"9","immature",5,13,0.0233393177737881,"Young"
"191","immature",6,13,0.0233393177737881,"Young"
"28","immature",7,13,0.0233393177737881,"Young"
"3","immature",8,12,0.0215439856373429,"Young"
"21","immature",9,12,0.0215439856373429,"Young"
"8","immature",10,11,0.0197486535008977,"Young"
"11","immature",11,11,0.0197486535008977,"Young"
"101","immature",12,10,0.0179533213644524,"Young"
"121","immature",13,10,0.0179533213644524,"Young"
"171","immature",14,10,0.0179533213644524,"Young"
"50","immature",15,10,0.0179533213644524,"Young"
"61","immature",16,10,0.0179533213644524,"Young"
"6","immature",17,9,0.0161579892280072,"Young"
"22","immature",18,9,0.0161579892280072,"Young"
"36","immature",19,9,0.0161579892280072,"Young"
"391","immature",20,9,0.0161579892280072,"Young"
