"","x","freq","RelFreq","Sample"
"1","0",189,0.0382668556387933,"Old"
"2","1",172,0.0348248633326584,"Old"
"3","10",110,0.022271714922049,"Old"
"4","11",102,0.0206519538368091,"Old"
"5","12",100,0.0202470135654991,"Old"
"6","13",90,0.0182223122089492,"Old"
"7","14",90,0.0182223122089492,"Old"
"8","15",89,0.0180198420732942,"Old"
"9","16",86,0.0174124316663292,"Old"
"10","17",85,0.0172099615306742,"Old"
"11","18",85,0.0172099615306742,"Old"
"12","19",82,0.0166025511237093,"Old"
"13","2",169,0.0342174529256935,"Old"
"14","20",83,0.0168050212593642,"Old"
"15","21",79,0.0159951407167443,"Old"
"16","22",78,0.0157926705810893,"Old"
"17","23",76,0.0153877303097793,"Old"
"18","24",74,0.0149827900384693,"Old"
"19","25",74,0.0149827900384693,"Old"
"20","26",71,0.0143753796315044,"Old"
"21","27",65,0.0131605588175744,"Old"
"22","28",63,0.0127556185462644,"Old"
"23","29",61,0.0123506782749544,"Old"
"24","3",163,0.0330026321117635,"Old"
"25","30",56,0.0113383275966795,"Old"
"26","31",53,0.0107309171897145,"Old"
"27","32",51,0.0103259769184045,"Old"
"28","33",51,0.0103259769184045,"Old"
"29","34",50,0.0101235067827495,"Old"
"30","4",157,0.0317878112978336,"Old"
"31","5",151,0.0305729904839036,"Old"
"32","6",147,0.0297631099412837,"Old"
"33","7",135,0.0273334683134238,"Old"
"34","8",131,0.0265235877708038,"Old"
"35","9",126,0.0255112370925289,"Old"
"36",NA,1495,0.302692852804211,"Old"
"37","0",260,0.0368532955350815,"Young"
"38","1",249,0.0352941176470588,"Young"
"39","10",129,0.0182849043231751,"Young"
"40","11",119,0.0168674698795181,"Young"
"41","12",117,0.0165839829907867,"Young"
"42","13",110,0.0155917788802268,"Young"
"43","14",100,0.0141743444365698,"Young"
"44","15",100,0.0141743444365698,"Young"
"45","16",93,0.0131821403260099,"Young"
"46","17",84,0.0119064493267186,"Young"
"47","18",83,0.0117647058823529,"Young"
"48","19",83,0.0117647058823529,"Young"
"49","2",232,0.032884479092842,"Young"
"50","20",79,0.0111977321048901,"Young"
"51","21",76,0.0107725017717931,"Young"
"52","22",76,0.0107725017717931,"Young"
"53","23",76,0.0107725017717931,"Young"
"54","24",75,0.0106307583274274,"Young"
"55","3",222,0.031467044649185,"Young"
"56","4",204,0.0289156626506024,"Young"
"57","5",165,0.0233876683203402,"Young"
"58","6",154,0.0218284904323175,"Young"
"59","7",147,0.0208362863217576,"Young"
"60","8",140,0.0198440822111977,"Young"
"61","9",135,0.0191353649893692,"Young"
"62",NA,3747,0.531112686038271,"Young"
