"","x","freq","RelFreq","Sample"
"1",1,189,0.0382668556387933,"Old"
"2",2,172,0.0348248633326584,"Old"
"13",3,169,0.0342174529256935,"Old"
"24",4,163,0.0330026321117635,"Old"
"30",5,157,0.0317878112978336,"Old"
"31",6,151,0.0305729904839036,"Old"
"32",7,147,0.0297631099412837,"Old"
"33",8,135,0.0273334683134238,"Old"
"34",9,131,0.0265235877708038,"Old"
"35",10,126,0.0255112370925289,"Old"
"3",11,110,0.022271714922049,"Old"
"4",12,102,0.0206519538368091,"Old"
"5",13,100,0.0202470135654991,"Old"
"6",14,90,0.0182223122089492,"Old"
"7",15,90,0.0182223122089492,"Old"
"8",16,89,0.0180198420732942,"Old"
"9",17,86,0.0174124316663292,"Old"
"10",18,85,0.0172099615306742,"Old"
"11",19,85,0.0172099615306742,"Old"
"14",20,83,0.0168050212593642,"Old"
"15",1,260,0.0368532955350815,"Young"
"26",2,249,0.0352941176470588,"Young"
"131",3,232,0.032884479092842,"Young"
"19",4,222,0.031467044649185,"Young"
"20",5,204,0.0289156626506024,"Young"
"21",6,165,0.0233876683203402,"Young"
"22",7,154,0.0218284904323175,"Young"
"23",8,147,0.0208362863217576,"Young"
"241",9,140,0.0198440822111977,"Young"
"25",10,135,0.0191353649893692,"Young"
"36",11,129,0.0182849043231751,"Young"
"41",12,119,0.0168674698795181,"Young"
"51",13,117,0.0165839829907867,"Young"
"61",14,110,0.0155917788802268,"Young"
"71",15,100,0.0141743444365698,"Young"
"81",16,100,0.0141743444365698,"Young"
"91",17,93,0.0131821403260099,"Young"
"101",18,84,0.0119064493267186,"Young"
"111",19,83,0.0117647058823529,"Young"
"12",20,83,0.0117647058823529,"Young"
