"","CellType","seurat_clusters","freq","RelFreq","Sample"
"13","myeloid",1,126,0.0541935483870968,"Old"
"31","myeloid",2,119,0.0511827956989247,"Old"
"24","myeloid",3,105,0.0451612903225806,"Old"
"30","myeloid",4,96,0.0412903225806452,"Old"
"34","myeloid",5,89,0.0382795698924731,"Old"
"3","myeloid",6,75,0.032258064516129,"Old"
"33","myeloid",7,74,0.0318279569892473,"Old"
"8","myeloid",8,67,0.0288172043010753,"Old"
"7","myeloid",9,65,0.0279569892473118,"Old"
"15","myeloid",10,61,0.0262365591397849,"Old"
"4","myeloid",11,50,0.021505376344086,"Old"
"14","myeloid",12,48,0.0206451612903226,"Old"
"18","myeloid",13,48,0.0206451612903226,"Old"
"9","myeloid",14,46,0.0197849462365591,"Old"
"19","myeloid",15,45,0.0193548387096774,"Old"
"20","myeloid",16,44,0.0189247311827957,"Old"
"21","myeloid",17,44,0.0189247311827957,"Old"
"12","myeloid",18,43,0.018494623655914,"Old"
"22","myeloid",19,43,0.018494623655914,"Old"
"11","myeloid",20,42,0.0180645161290323,"Old"
"23","myeloid",21,39,0.0167741935483871,"Old"
"25","myeloid",22,37,0.0159139784946237,"Old"
"27","myeloid",23,33,0.0141935483870968,"Old"
"17","myeloid",24,30,0.0129032258064516,"Old"
"26","myeloid",25,24,0.0103225806451613,"Old"
"6","myeloid",26,23,0.00989247311827957,"Old"
"1","myeloid",27,18,0.00774193548387097,"Old"
"5","myeloid",28,16,0.00688172043010753,"Old"
"28","myeloid",29,11,0.00473118279569892,"Old"
"29","myeloid",30,10,0.0043010752688172,"Old"
"35","myeloid",31,9,0.00387096774193548,"Old"
"16","myeloid",32,8,0.00344086021505376,"Old"
"2","myeloid",33,7,0.00301075268817204,"Old"
"32","myeloid",34,4,0.00172043010752688,"Old"
"10","myeloid",35,3,0.00129032258064516,"Old"
"110","myeloid",1,146,0.0373688251855644,"Young"
"210","myeloid",2,127,0.0325057588942923,"Young"
"131","myeloid",3,124,0.0317379063219862,"Young"
"191","myeloid",4,117,0.0299462503199386,"Young"
"201","myeloid",5,105,0.0268748400307141,"Young"
"221","myeloid",6,99,0.0253391348861019,"Young"
"211","myeloid",7,91,0.0232915280266189,"Young"
"231","myeloid",8,79,0.0202201177373944,"Young"
"251","myeloid",9,78,0.019964166879959,"Young"
"36","myeloid",10,76,0.0194522651650883,"Young"
"241","myeloid",11,76,0.0194522651650883,"Young"
"61","myeloid",12,69,0.0176606091630407,"Young"
"41","myeloid",13,67,0.01714870744817,"Young"
"81","myeloid",14,55,0.0140772971589455,"Young"
"121","myeloid",15,55,0.0140772971589455,"Young"
"51","myeloid",16,54,0.0138213463015101,"Young"
"71","myeloid",17,53,0.0135653954440747,"Young"
"101","myeloid",18,50,0.0127975428717686,"Young"
"91","myeloid",19,47,0.0120296902994625,"Young"
"181","myeloid",20,47,0.0120296902994625,"Young"
"151","myeloid",21,46,0.0117737394420271,"Young"
"161","myeloid",22,46,0.0117737394420271,"Young"
"111","myeloid",23,40,0.0102380342974149,"Young"
"171","myeloid",24,37,0.00947018172510878,"Young"
"141","myeloid",25,31,0.00793447658049654,"Young"
