"","CellType","seurat_clusters","freq","RelFreq","Sample"
"1","immature",1,163,0.0891684901531729,"Old"
"3","immature",2,156,0.0853391684901532,"Old"
"7","immature",3,130,0.0711159737417943,"Old"
"10","immature",4,110,0.0601750547045952,"Old"
"9","immature",5,94,0.0514223194748359,"Old"
"23","immature",6,77,0.0421225382932166,"Old"
"21","immature",7,65,0.0355579868708972,"Old"
"22","immature",8,58,0.0317286652078775,"Old"
"12","immature",9,56,0.0306345733041575,"Old"
"28","immature",10,55,0.0300875273522976,"Old"
"32","immature",11,44,0.0240700218818381,"Old"
"40","immature",12,43,0.0235229759299781,"Old"
"13","immature",13,39,0.0213347921225383,"Old"
"38","immature",14,37,0.0202407002188184,"Old"
"51","immature",15,35,0.0191466083150985,"Old"
"52","immature",16,31,0.0169584245076586,"Old"
"16","immature",17,30,0.0164113785557987,"Old"
"5","immature",18,29,0.0158643326039387,"Old"
"26","immature",19,29,0.0158643326039387,"Old"
"61","immature",20,28,0.0153172866520788,"Old"
"31","immature",1,25,0.0441696113074205,"Young"
"2","immature",2,20,0.0353356890459364,"Young"
"15","immature",3,17,0.0300353356890459,"Young"
"4","immature",4,16,0.0282685512367491,"Young"
"8","immature",5,14,0.0247349823321555,"Young"
"211","immature",6,14,0.0247349823321555,"Young"
"17","immature",7,13,0.0229681978798587,"Young"
"20","immature",8,13,0.0229681978798587,"Young"
"53","immature",9,12,0.0212014134275618,"Young"
"221","immature",10,12,0.0212014134275618,"Young"
"91","immature",11,11,0.019434628975265,"Young"
"6","immature",12,10,0.0176678445229682,"Young"
"101","immature",13,10,0.0176678445229682,"Young"
"11","immature",14,10,0.0176678445229682,"Young"
"56","immature",15,10,0.0176678445229682,"Young"
"58","immature",16,10,0.0176678445229682,"Young"
"67","immature",17,10,0.0176678445229682,"Young"
"71","immature",18,9,0.0159010600706714,"Young"
"14","immature",19,9,0.0159010600706714,"Young"
"47","immature",20,9,0.0159010600706714,"Young"
