"","x","freq","RelFreq","Sample"
"1",1,184,0.0365006943066852,"Old"
"2",2,175,0.0347153342590756,"Old"
"13",3,164,0.0325332275342194,"Old"
"24",4,152,0.0301527474707399,"Old"
"35",5,143,0.0283673874231303,"Old"
"38",6,137,0.0271771473913906,"Old"
"39",7,137,0.0271771473913906,"Old"
"40",8,131,0.0259869073596509,"Old"
"41",9,122,0.0242015473120413,"Old"
"42",10,122,0.0242015473120413,"Old"
"3",11,108,0.0214243205713152,"Old"
"4",12,108,0.0214243205713152,"Old"
"5",13,104,0.0206308272168221,"Old"
"6",14,103,0.0204324538781988,"Old"
"7",15,102,0.0202340805395755,"Old"
"8",16,99,0.0196389605237056,"Old"
"9",17,90,0.017853600476096,"Old"
"10",18,86,0.0170601071216029,"Old"
"11",19,85,0.0168617337829796,"Old"
"12",20,84,0.0166633604443563,"Old"
"14",1,247,0.0344972067039106,"Young"
"28",2,242,0.0337988826815642,"Young"
"131",3,230,0.032122905027933,"Young"
"21",4,203,0.0283519553072626,"Young"
"22",5,191,0.0266759776536313,"Young"
"23",6,170,0.0237430167597765,"Young"
"241",7,153,0.0213687150837989,"Young"
"25",8,153,0.0213687150837989,"Young"
"26",9,144,0.0201117318435754,"Young"
"27",10,138,0.0192737430167598,"Young"
"31",11,119,0.0166201117318436,"Young"
"43",12,109,0.0152234636871508,"Young"
"51",13,107,0.0149441340782123,"Young"
"61",14,106,0.014804469273743,"Young"
"71",15,106,0.014804469273743,"Young"
"81",16,103,0.0143854748603352,"Young"
"91",17,101,0.0141061452513966,"Young"
"101",18,94,0.0131284916201117,"Young"
"111",19,94,0.0131284916201117,"Young"
"121",20,93,0.0129888268156425,"Young"
